recipe_tag	coeficcient
gamedayfood	0.04082601022227343
ganache	-0.00456600012363007
garlic	-0.057614111331527586
ginger	-0.06143687906506028
glutenfree	0.1775596540170836
goldenbrown	0.03509434823062676
greenbeans	-0.02188655986572492
greenonion	0.0038227677335326998
greenonions	-0.013990139111677432
grill	-0.007562883932482246
grilled	0.003963399441590007
grilling	0.06376500856094064
groundbeef	0.05841002704964682
gruyere	0.009751506445351665
gruyerecheese	-0.1374446139924648
guacamole	0.11889966109173335
hamandcheese	-0.023782218020090146
hamburger	-0.05225423239975679
handheld	0.07726522039953541
handtorndough	-0.0938422180054807
hawaii	-0.05225423239975679
hawaiian	-0.049834347520662195
healthy	-0.12724725850470475
herbs	-0.014850612469523877
holiday	-0.08212242058404176
homemade	0.02367214233591233
indulgent	0.033973637774258755
italian	-0.024008688334249864
italiancuisine	0.1416915301412905
jalapenos	-0.021249505371995447
japanesecuisine	0.11392987422583861
juicy	-0.00016950080617020047
ketchup	-0.05225423239975679
keto	0.021004272830513277
kidfriendly	0.08875795926935623
koreancuisine	-0.0938422180054807
laminateddough	0.03033656677764006
lasagna	0.0207018452971751
lattice	0.02065285502478126
lettuce	-0.06948447925434686
lime	0.10327104999459666
loadednachos	0.06207551559426888
lowcarb	0.021004272830513277
lunch	0.04798141188115416
macandcheese	0.025308393139186387
maple	0.008697510323180922
maplesyrup	0.0479066409294416
masa	-0.0766651894686228
mayonnaise	-0.05225423239975679
meal	0.06435314921312375
mealprep	0.03730543711197217
meat	0.022634124351054802
meatsauce	0.0420866495022682
mexican	0.11458553712779804
mexicancuisine	-0.00493600730718179
mexicanfood	0.06207551559426888
middleeastern	-0.004622013388491695
miso	-0.006819685922518477
muffins	0.03730543711197217
mushroom	-0.08276387443211317
mushrooms	-0.006819685922518477
nachos	-0.06397138183032393
noodles	0.03818220266253411
noodlesoup	-0.006819685922518477
nori	-0.049834347520662195
numbing	-0.07398530141826802
nutmeg	0.05697983877759774
oat	0.07225427657230536
oats	0.01577338487745552
onion	0.15453402304135855
onions	0.022251097235777877
onthego	-0.049834347520662195
oven	0.04958533046576519
oysters	-0.10198523118608292
pacificislands	-0.05225423239975679
pancakes	0.0479066409294416
parmesan	0.009751506445351665
partyfood	0.10661443391843753
pasta	0.1009045854439588
pastasauce	0.0420866495022682
pastry	0.0009540085647603558
pastrycrust	-0.1623344318808454
peach	0.1352056469747648
peanutbutter	0.06539291233373494
peanutdressing	0.07855529699808737
peanuts	0.037707419515112535
peppers	0.012273406182025695
pickledvegetables	-0.12150864607191116
pie	0.04483087472226263
piecrust	-0.002292854716234935
pork	0.037707419515112535
porkbelly	-0.006819685922518477
potatoes	-0.007170453189158954
protein	0.03730543711197217
puffpastry	0.04958533046576519
quiche	-0.0693000601127034
quick	0.028254026778771035
ramen	-0.006819685922518477
refreshing	0.051700677696944405
relish	-0.08606194889104281
rhubarb	0.051700677696944405
rice	-0.049834347520662195
ricevinegar	0.0038227677335326998
rich	0.012061924205551872
ricotta	-0.013335992523621623
salad	-0.05781872521267198
salsa	0.04510986427699797
salty	0.025308393139186387
sandwich	0.06767594497669274
sauce	0.08060471777562385
savory	0.006938739204653349
scallions	-0.02372945954994775
scallops	0.056217631841346795
seafood	-0.07584480878927619
sesame	-0.07752530104106137
sesameoil	0.0038227677335326998
sesameseeds	0.0038227677335326998
shrimp	0.06376500856094064
sichuancuisine	-0.03627788190315548
sichuanpeppercorns	-0.02372945954994775
sidedish	-0.08407504449109192
sidedishes	-0.02188655986572492
skewers	0.06376500856094064
smoky	0.04823048632578974
snack	0.0069232659537390995
snacks	-0.043136065237720365
sobanoodles	-0.02438526215114889
soft	0.03509434823062676
souffle	0.07487005253246296
soup	-0.015842133816997755
sourcream	0.012539106555740434
southern	0.11153350463885248
southerncuisine	-0.10198523118608292
soysauce	-0.0036347837461599697
spam	-0.10208857992041898
spices	-0.014850612469523877
spicy	0.0027587673236163027
spicyfood	-0.007895147998961297
spinach	-0.09284475886135196
spring	-0.009354758199570991
steamed	-0.0766651894686228
stirfry	-0.012548422353207732
strawberry	0.051700677696944405
streetfood	0.04664095965827021
stuffedpeppers	-0.007895147998961297
summer	0.10481558954753964
sushi	-0.049834347520662195
sweet	0.07232312229258925
sweetandsalty	0.02667419524059693
sweetandsavory	0.056604151252622525
sweettreat	0.030471844928116096
taco	-0.06093033596886972
tacos	0.0512629730467619
tangy	0.046243446581525446
tart	0.08060471777562385
tea	-0.01911348553764909
tempura	0.04274947595987414
tender	0.0994474974437505
texmex	0.012273406182025695
thanksgiving	-0.005457231115418959
toast	0.06767594497669274
tomato	-0.00822365244011674
tomatoes	-0.1538007598492221
tomatosauce	0.1826765178927802
tortilla	0.009977691053752182
tortillabowl	-0.06093033596886972
tortillachips	-0.07544368624188963
tortillas	0.005102952992866741
traditional	-0.0766651894686228
twisted	0.019687198498201275
udonnoodles	0.04274947595987414
vanilla	0.0025591142686530854
vanillaicecream	0.01577338487745552
vegan	0.08625131722134693
vegetables	-0.08010538221227814
vegetarian	-0.12225239758894209
warm	0.04958533046576519
whippedcream	0.01577338487745552
winter	0.037828287178644726
yeastdough	0.019687198498201275
